CustomerID,Age,City,MonthsAsCustomer,AvgMonthlySpend,AvgItemsPerVisit,PreferredCategory,Churned
1,52,Kolkata,27,1899.22,31,Apparel,1
2,62,Delhi,55,3778.89,21,Groceries,0
3,21,Kolkata,6,2752.16,34,Electronics,1
4,21,Thane,13,4073.03,35,Home Goods,1
5,36,Bengaluru,63,7028.26,13,Groceries,0
6,28,Mumbai,24,3538.7,19,Electronics,0
7,25,Kolkata,55,4776.19,11,Electronics,0
8,21,Kolkata,7,4176.95,14,Electronics,1
9,36,Mumbai,47,6174.19,5,Home Goods,0
10,51,Thane,24,3393.57,14,Groceries,0
11,21,Thane,29,5498.58,11,Apparel,0
12,25,Thane,25,4437.38,32,Apparel,0
13,39,Thane,52,2921.41,22,Groceries,0
14,26,Kolkata,33,2463.39,21,Home Goods,0
15,57,Delhi,8,4774.17,5,Electronics,1
16,49,Bengaluru,11,6101.57,34,Home Goods,1
17,38,Thane,58,1365.02,14,Apparel,0
18,26,Delhi,77,500.0,10,Groceries,1
19,56,Thane,61,1775.37,13,Home Goods,0
20,32,Delhi,32,4356.74,33,Electronics,0
21,18,Mumbai,25,3728.62,14,Home Goods,0
22,53,Bengaluru,72,2300.66,6,Home Goods,0
23,55,Kolkata,57,3897.56,23,Groceries,0
24,36,Thane,79,5277.9,27,Apparel,0
25,56,Bengaluru,56,6918.8,14,Electronics,0
26,63,Thane,63,2802.23,17,Groceries,0
27,44,Thane,39,949.38,37,Apparel,1
28,54,Delhi,24,6740.4,14,Electronics,0
29,60,Mumbai,37,2099.67,16,Electronics,0
30,56,Bengaluru,48,3309.63,31,Home Goods,0
31,62,Thane,75,2346.01,34,Groceries,0
32,43,Mumbai,70,6137.0,15,Home Goods,0
33,43,Bengaluru,9,4545.29,19,Groceries,1
34,56,Mumbai,40,4485.96,23,Home Goods,0
35,52,Thane,40,3399.79,26,Apparel,0
36,47,Bengaluru,43,3973.62,14,Apparel,0
37,42,Mumbai,77,1735.33,25,Home Goods,0
38,52,Bengaluru,56,7369.24,16,Home Goods,0
39,39,Kolkata,11,6599.68,13,Apparel,1
40,45,Thane,51,3544.31,21,Groceries,0
41,33,Thane,20,3009.49,14,Groceries,1
42,45,Delhi,81,1995.04,22,Apparel,0
43,36,Kolkata,61,4954.57,23,Apparel,0
44,36,Thane,50,2726.47,9,Electronics,0
45,25,Delhi,58,2442.36,15,Home Goods,0
46,56,Thane,32,1055.94,5,Apparel,1
47,50,Kolkata,42,3476.88,28,Groceries,0
48,34,Delhi,27,2714.32,23,Apparel,0
49,62,Thane,28,3879.21,29,Home Goods,0
50,55,Kolkata,83,2065.99,24,Home Goods,0
51,58,Bengaluru,41,5540.45,6,Home Goods,0
52,25,Kolkata,21,2531.67,5,Groceries,1
53,55,Mumbai,80,5320.6,21,Home Goods,0
54,43,Bengaluru,12,1143.74,12,Groceries,1
55,63,Bengaluru,36,2736.81,12,Apparel,0
56,41,Delhi,18,1571.91,7,Home Goods,1
57,43,Delhi,32,5357.1,21,Apparel,0
58,28,Delhi,56,783.38,9,Home Goods,1
59,53,Kolkata,73,6319.05,17,Apparel,0
60,18,Mumbai,19,500.0,18,Apparel,1
61,40,Kolkata,10,7285.2,26,Home Goods,1
62,47,Kolkata,14,2949.39,11,Electronics,1
63,52,Bengaluru,41,2995.88,36,Electronics,0
64,26,Bengaluru,9,4557.25,14,Electronics,1
65,49,Thane,78,3999.71,19,Home Goods,0
66,23,Thane,68,3704.27,34,Apparel,0
67,56,Thane,64,6183.25,20,Electronics,0
68,34,Thane,52,5258.66,9,Electronics,0
69,45,Mumbai,26,4428.94,30,Groceries,0
70,30,Delhi,16,2071.95,24,Apparel,1
71,38,Bengaluru,32,3866.97,30,Electronics,0
72,51,Kolkata,83,3097.23,21,Home Goods,0
73,64,Mumbai,10,4741.61,5,Home Goods,1
74,63,Thane,55,2153.73,8,Home Goods,0
75,40,Kolkata,38,2697.78,9,Electronics,0
76,64,Bengaluru,57,5226.46,30,Apparel,0
77,60,Bengaluru,37,2547.14,7,Electronics,0
78,54,Delhi,60,4869.13,8,Groceries,0
79,27,Delhi,48,4188.76,11,Apparel,0
80,35,Delhi,75,6191.41,12,Groceries,0
81,55,Kolkata,51,1706.03,34,Apparel,0
82,62,Bengaluru,71,3800.4,38,Home Goods,0
83,57,Thane,67,3677.93,19,Apparel,0
84,40,Thane,38,1250.89,7,Groceries,1
85,49,Mumbai,11,2191.02,13,Home Goods,1
86,39,Thane,24,4063.52,14,Electronics,0
87,52,Thane,65,3120.52,9,Electronics,0
88,18,Thane,55,2490.7,18,Home Goods,0
89,36,Bengaluru,37,2491.48,15,Home Goods,0
90,41,Bengaluru,10,4239.24,35,Groceries,1
91,28,Delhi,24,6164.52,34,Groceries,0
92,55,Mumbai,20,3795.07,27,Groceries,1
93,51,Kolkata,29,2170.98,26,Groceries,0
94,55,Kolkata,34,2830.02,25,Electronics,0
