Category: All categories

Month,Big Bazaar: (India),DMart: (India)
2014-01,23,4
2014-02,12,4
2014-03,21,4
2014-04,20,4
2014-05,22,4
2014-06,17,5
2014-07,19,6
2014-08,29,7
2014-09,16,6
2014-10,31,8
2014-11,15,6
2014-12,19,6
2015-01,26,7
2015-02,15,6
2015-03,20,6
2015-04,24,7
2015-05,17,7
2015-06,16,8
2015-07,15,6
2015-08,25,8
2015-09,15,6
2015-10,20,7
2015-11,19,8
2015-12,20,7
2016-01,19,7
2016-02,14,7
2016-03,22,8
2016-04,16,9
2016-05,13,8
2016-06,14,9
2016-07,15,9
2016-08,22,9
2016-09,13,8
2016-10,19,11
2016-11,16,9
2016-12,16,11
2017-01,24,9
2017-02,15,15
2017-03,18,74
2017-04,18,22
2017-05,15,18
2017-06,20,20
2017-07,21,26
2017-08,28,22
2017-09,20,27
2017-10,30,35
2017-11,18,25
2017-12,22,24
2018-01,34,25
2018-02,19,24
2018-03,28,26
2018-04,28,28
2018-05,23,31
2018-06,24,41
2018-07,24,29
2018-08,36,29
2018-09,19,23
2018-10,24,28
2018-11,20,26
2018-12,21,26
2019-01,30,26
2019-02,21,29
2019-03,25,23
2019-04,23,24
2019-05,25,28
2019-06,22,25
2019-07,24,27
2019-08,35,30
2019-09,23,28
2019-10,28,36
2019-11,19,30
2019-12,22,33
2020-01,28,36
2020-02,21,52
2020-03,51,76
2020-04,45,100
2020-05,28,77
2020-06,20,49
2020-07,22,55
2020-08,22,41
2020-09,18,41
2020-10,17,40
2020-11,16,41
2020-12,14,40
2021-01,17,43
